Year,observed flow (ML), modelled flow (ML)
1971/1972,692053,621678
1972/1973,2856643,3101190
1973/1974,5221374,5460386
1974/1975,2791466,2867817
1975/1976,3390266,3610216
1976/1977,4341769,4741752
1977/1978,2190065,2507764
1978/1979,4727533,4814177
1979/1980,1992597,2011596
1980/1981,4137953,4148159
1981/1982,3318085,3385826
1982/1983,1666813,1944619
1983/1984,2596239,2812973
1984/1985,2653732,3139752
1985/1986,2859104,3085135
1986/1987,2118305,2326116
1987/1988,1860909,2138480
1988/1989,4170459,4079281
1989/1990,2968288,3422756
1990/1991,3329883,3701038
1991/1992,1140895,1730483
1992/1993,1485921,1968844
1993/1994,2630398,2856761
1994/1995,1732246,1948321
1995/1996,2963454,3183112
1996/1997,3142983,3466290
1997/1998,3086131,3384554
1998/1999,4943517,4992137
1999/2000,5269205,4929506
2000/2001,3630119,3113434
2001/2002,1387390,1495608
2002/2003,1219538,1464325
2003/2004,3358038,2894303
2004/2005,1916586,1808333
2005/2006,3540431,2788371
2006/2007,4135719,3181168
2007/2008,3234326,2741472
2008/2009,3771526,3419969
2009/2010,2550235,2304031
2010/2011,6144255,4662997
2011/2012,3619825,3115947
2012/2013,2837610,2265072
2013/2014,3727365,2985760
2014/2015,1913018,1660000
2015/2016,2305266,2020000
2016/2017,2905771,2660000
2017/2018,3415238,3350000
